sentence_index,NN,IN,JJ,NNS,DT,PRP,RB,VBG,VB,CC,VBZ,VBP,NNP,VBD,PRP$,TO,WRB,MD,VBN,RP,WP,POS,WDT,JJR,CD,RBR,JJS,PDT,EX,UH,FW,NNPS,RBS,$,WP$,),(
1,15.0,8.5,5.5,5.0,5.5,5.0,5.5,2.5,4.5,4.0,2.5,3.5,4.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.5,0.5,0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2,13.5,10.0,8.5,4.5,6.5,7.0,5.0,4.0,3.0,4.0,2.0,5.5,4.0,0.5,1.0,2.5,0.5,0.5,0,0,1.0,1.5,0,1.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0
3,13.0,8.0,15.0,6.5,6.0,5.5,8.5,3.0,3.5,5.0,3.0,3.5,3.5,2.0,1.5,1.5,1.5,2.0,1.0,1.0,1.0,1.5,0.5,1.0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0
4,19.5,11.5,9.5,6.0,5.0,7.0,7.0,4.0,6.5,4.0,4.5,5.5,4.0,0,2.0,1.0,1.0,1.5,1.0,1.5,1.0,1.5,1.0,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0
5,17.0,7.5,10.0,3.5,8.0,8.0,5.0,3.0,7.5,4.5,2.0,4.0,9.0,0.5,2.0,1.5,1.0,3.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
6,18.0,11.5,11.0,5.5,10.0,6.5,3.5,3.0,5.0,5.5,6.5,3.0,6.5,2.5,2.0,1.5,2.0,2.5,0.5,1.0,1.0,0.5,0,0,1.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
7,17.5,9.5,12.0,7.5,8.0,8.0,7.0,3.5,9.0,6.0,4.0,4.0,3.0,2.0,3.0,1.5,1.5,4.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0,1.0,0,0.5,0.5,0.5,0,0,0,0,0,0
8,19.5,15.5,11.0,8.5,9.5,10.0,3.5,7.0,5.5,6.5,4.0,5.5,5.0,2.0,2.0,1.5,1.0,3.0,0.5,1.0,1.0,1.0,1.0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0
9,22.0,16.0,13.0,7.0,9.0,10.5,7.5,6.0,10.0,4.5,4.0,3.5,3.0,3.5,3.5,3.0,1.0,4.0,0.5,1.0,1.0,1.0,0,1.0,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0
10,16.0,15.0,15.0,9.5,6.0,9.5,4.0,9.0,8.5,4.5,3.5,5.0,5.5,4.0,3.0,3.5,2.0,1.5,1.0,1.0,1.0,0,1.5,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
11,21.0,13.5,14.0,6.5,8.0,14.5,4.5,5.0,7.0,4.5,4.5,4.5,2.5,6.5,2.5,1.5,2.0,2.0,1.0,2.0,1.5,1.0,0,0.5,0.5,1.0,0.5,0.5,0.5,0,0,0,0,0,0,0,0
12,19.0,14.5,10.0,10.0,10.0,7.0,5.5,8.0,9.0,4.5,3.5,4.5,2.5,0.5,0.5,2.0,0,3.0,0.5,1.0,1.5,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,19.0,16.0,12.5,8.5,7.0,4.5,7.5,5.5,6.0,4.0,3.0,4.5,2.0,2.0,3.5,1.0,1.5,2.0,3.5,1.5,1.0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0
14,17.5,11.5,7.5,10.0,8.0,10.0,4.5,5.5,8.0,4.5,1.0,7.0,3.5,6.5,3.5,2.5,1.5,2.0,0,1.5,2.0,0,1.0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
15,23.5,14.5,10.5,5.5,9.5,9.5,5.5,4.0,5.5,5.0,3.5,5.5,4.0,2.5,1.0,1.5,2.5,1.5,1.0,0.5,0.5,1.0,1.0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0
16,20.0,14.5,10.5,11.0,8.5,6.5,8.5,8.5,5.5,5.0,5.0,5.5,1.5,1.0,4.0,3.0,2.0,2.0,4.0,1.0,1.5,1.0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0
17,19.0,15.5,16.0,11.5,8.0,5.0,7.0,6.5,6.5,4.0,7.5,5.5,0.5,1.5,2.0,4.5,2.5,0.5,2.0,1.5,2.0,0,0.5,1.0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
18,20.0,15.0,12.5,14.5,8.5,9.5,5.5,7.5,7.0,4.0,5.5,5.5,0,1.0,3.5,4.0,0.5,1.0,0.5,1.0,1.5,1.0,1.5,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0
19,24.5,15.0,13.5,10.5,8.0,10.0,8.5,9.0,5.0,6.0,6.0,5.5,3.0,2.5,3.0,1.5,2.5,1.5,2.5,2.0,2.0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
20,19.0,12.0,12.5,10.0,9.5,7.5,6.5,6.0,6.0,4.5,3.5,4.0,4.0,4.0,1.5,3.0,2.5,1.5,2.0,1.5,1.0,0.5,0,0.5,0.5,0.5,0.5,1.0,0.5,0,0,0,0,0.5,0,0,0
21,21.5,16.0,16.0,13.0,10.5,4.5,8.0,8.0,4.0,4.0,6.0,3.5,1.5,2.5,2.0,2.0,1.0,0.5,2.5,0,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22.0,12.0,12.0,10.5,13.5,8.0,6.5,2.5,7.5,5.5,6.5,5.0,3.0,1.0,1.5,3.5,2.0,0.5,2.5,0.5,0.5,2.0,1.0,0.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0
23,18.0,15.0,11.5,10.5,8.0,5.0,5.5,6.5,6.5,4.5,7.5,2.5,3.5,0.5,2.5,4.0,2.5,1.0,1.5,1.0,0,1.5,1.0,0.5,1.0,0,0,0.5,0,0,0,0,0,0,0,0,0
24,20.0,15.0,15.5,18.0,10.0,8.5,6.5,5.0,6.0,6.5,3.0,7.5,1.0,2.5,4.5,3.0,3.5,1.0,1.5,0.5,1.0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,19.5,11.5,12.0,7.5,7.0,10.0,8.0,6.0,4.5,4.5,6.0,5.5,3.0,3.5,1.0,2.5,3.0,1.5,1.0,1.5,0,0,0,1.5,1.0,1.0,0,0.5,0.5,0,0.5,0,0,0,0,0,0
26,23.0,16.5,14.0,13.0,9.0,6.5,5.5,4.5,6.5,6.5,3.0,4.5,4.0,3.5,2.5,3.5,2.0,1.0,2.0,1.0,0.5,1.0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
27,21.5,14.0,12.5,9.0,8.0,10.0,4.5,6.5,6.0,5.0,4.0,4.0,4.0,2.0,1.5,2.5,2.5,2.0,1.5,0.5,1.0,0.5,0,0.5,0.5,1.0,0.5,0,0,0,0,0,0,0,0,0,0
28,19.5,13.5,13.5,10.5,9.0,7.5,3.5,5.5,5.5,5.5,5.0,5.5,5.5,3.0,3.5,2.0,2.0,1.0,0,1.0,2.0,1.0,0.5,0,1.0,0,0.5,0,0,0,0,0,0,0,0,0,0
29,15.5,14.0,12.0,9.5,6.0,6.5,7.5,7.5,5.5,4.0,3.5,3.5,4.0,3.5,1.0,2.0,1.5,0.5,1.0,1.0,1.5,0.5,1.0,0.5,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0
30,20.5,13.0,8.5,8.5,8.5,5.0,3.5,4.0,4.0,6.0,7.0,2.5,3.0,2.0,2.5,2.5,1.5,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0,0.5,1.0,0.5,0,0,0.5,0,0,0.5,0,0
31,23.0,14.0,5.5,3.5,9.5,10.5,8.5,5.5,5.5,3.5,8.0,5.0,6.0,3.5,3.0,4.0,3.0,2.0,1.0,1.0,2.5,0.5,1.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0
32,19.5,14.5,15.0,5.5,9.0,8.0,2.0,6.0,6.5,5.5,4.5,2.0,6.5,3.0,3.0,2.5,2.0,1.0,0.5,1.5,0.5,1.0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
33,21.5,13.0,11.0,9.0,9.0,4.0,4.5,7.0,5.5,5.0,3.5,3.0,6.0,3.0,5.0,3.5,1.5,1.5,0.5,2.0,0,2.0,1.5,0,1.0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
34,20.0,12.0,9.5,9.0,7.0,6.0,7.5,7.0,5.5,5.0,2.5,3.5,5.0,4.0,5.5,3.5,1.0,1.0,0.5,1.0,1.0,2.5,1.0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0
35,18.0,13.0,12.5,8.0,10.0,6.0,7.5,6.0,6.0,3.0,2.5,3.5,1.5,5.5,2.0,3.0,2.5,1.0,1.0,2.0,2.0,1.0,0,0.5,0,0,1.0,0,0,0,0,0,0,0,0,0.5,0.5
36,22.0,11.0,11.0,5.5,9.0,7.0,8.0,5.0,3.0,5.0,4.0,2.0,1.5,6.0,3.0,0.5,3.0,1.0,2.0,0.5,1.0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
37,19.5,15.0,19.0,2.5,6.0,5.0,6.0,9.0,5.5,5.0,2.0,3.5,2.0,4.5,2.0,1.5,2.0,1.0,1.0,2.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
38,21.5,10.5,8.5,8.0,8.0,7.0,5.5,6.5,5.5,5.0,3.5,2.0,3.5,5.0,2.5,2.5,3.0,1.5,0.5,3.0,0.5,0.5,1.5,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
39,21.5,10.5,9.5,6.5,8.0,8.0,6.5,5.5,5.5,5.0,4.5,4.0,1.0,5.5,1.5,2.0,4.0,1.0,0.5,1.5,0.5,1.0,0.5,0.5,0.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0
40,23.0,15.5,10.5,7.5,10.5,7.5,9.5,6.0,5.5,5.0,3.0,2.0,1.0,6.0,2.5,3.0,3.0,1.5,2.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,22.0,12.0,12.0,8.0,10.5,6.5,5.5,5.5,3.5,5.0,2.5,2.0,1.0,6.5,1.0,1.0,3.5,1.5,0.5,3.0,0,0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,17.5,13.0,8.5,6.5,6.5,7.5,6.5,7.0,5.5,4.5,5.0,1.5,2.0,7.0,2.5,1.0,4.0,2.5,1.5,2.0,0.5,0.5,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
43,18.0,11.0,10.5,8.0,8.0,5.0,7.0,7.0,4.5,4.0,3.5,2.5,4.0,5.5,2.5,1.0,2.0,1.0,2.0,1.0,1.0,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0
44,21.5,12.5,11.5,9.0,8.0,7.0,6.0,4.5,4.0,5.0,4.0,4.0,3.5,5.0,2.5,3.0,0.5,0.5,1.5,1.0,0.5,0.5,1.0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
45,18.5,12.0,10.0,8.0,7.5,8.0,6.5,3.5,6.0,5.5,5.0,4.5,2.5,4.0,1.5,2.0,2.5,0.5,2.0,1.5,0,0,0.5,0,0,1.0,0.5,0,0,0,0,0,0,0,0,0,0
46,16.5,11.0,9.5,13.0,7.0,6.0,9.0,8.0,4.5,6.0,5.0,5.0,3.5,4.5,0.5,2.5,2.0,0.5,0,1.5,1.0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,19.0,12.5,11.5,7.0,7.0,7.5,4.0,5.5,6.5,4.0,3.0,2.5,3.5,3.5,3.0,2.5,2.5,2.0,1.5,1.0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
48,19.0,10.5,12.0,6.5,6.0,6.5,5.0,6.0,2.5,4.5,4.5,5.5,2.0,2.5,3.0,1.0,1.0,0.5,2.0,1.5,3.0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0
49,19.0,8.0,12.5,8.5,5.5,5.5,9.0,7.0,4.0,7.0,5.0,4.0,1.5,2.5,2.0,1.0,2.0,1.5,1.0,1.5,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,21.0,9.0,8.5,5.5,7.5,6.0,8.0,5.0,5.0,5.0,4.5,3.0,3.0,3.5,1.5,2.5,2.0,0,1.0,1.0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
