sentence_index,NN,IN,JJ,PRP,DT,RB,NNP,VB,VBZ,NNS,VBP,CC,VBG,VBD,PRP$,TO,WP,MD,RP,VBN,POS,WRB,CD,WDT,PDT,RBR,RBS,EX,UH,JJS,JJR,FW,NNPS
1,8,8,8,8,4,9,1,3,3,3,4,2,5,0,1,1,1,1,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0
2,14,9,4,9,6,2,3,4,3,3,3,5,5,4,2,2,2,1,2,0,0,0,1,0,0,0,1,0,2,0,0,0,0
3,9,5,5,11,4,11,3,1,6,1,3,3,3,4,2,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
4,11,6,7,6,6,6,3,2,3,0,1,1,0,3,2,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
5,9,7,2,10,5,5,1,0,1,3,6,2,3,2,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
6,14,6,3,7,6,5,5,3,2,1,2,1,2,3,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
7,15,8,7,10,10,4,5,4,4,2,3,4,3,4,2,1,1,0,2,2,0,1,1,2,0,0,0,0,0,0,0,0,0
8,13,6,7,8,9,5,3,4,6,0,1,3,1,4,2,1,1,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0
9,14,6,7,10,4,7,3,5,4,0,5,1,1,3,3,2,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0
10,14,7,9,6,5,5,5,5,2,2,2,1,2,4,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11,22,6,2,6,4,8,5,1,2,2,3,5,3,8,2,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
12,15,9,7,8,5,7,6,3,4,1,4,3,3,2,3,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
13,12,8,6,10,3,7,6,1,5,4,5,3,2,0,2,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
14,13,9,5,8,3,6,3,3,4,3,4,1,3,1,1,2,1,0,3,0,0,2,1,0,1,0,0,0,0,1,0,0,0
15,13,8,8,6,3,9,5,2,3,1,5,2,5,4,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
16,15,8,7,6,6,10,6,2,6,2,2,3,5,2,3,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
17,17,9,4,6,8,3,6,3,7,1,2,3,2,2,2,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
18,15,10,6,10,5,6,8,5,5,3,3,3,1,3,1,0,2,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
19,9,4,5,3,7,6,8,6,1,4,3,4,4,1,0,1,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
20,13,7,14,5,4,3,0,9,2,7,0,4,1,0,1,3,0,5,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0
21,10,9,7,6,5,4,5,6,3,5,2,5,1,1,1,1,1,3,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
22,9,7,5,6,5,2,5,6,4,4,2,3,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23,21,13,11,4,8,2,6,5,2,5,2,2,4,1,3,1,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
24,9,9,7,7,6,6,2,3,2,3,7,2,1,1,0,1,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
25,18,10,5,3,6,5,3,6,1,4,5,3,2,2,3,3,1,1,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0
26,15,5,7,4,6,5,4,2,5,1,2,3,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,7,6,3,5,7,3,4,6,5,5,1,1,1,0,1,3,2,1,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0
28,12,8,6,3,5,4,2,2,3,1,3,3,5,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
29,10,7,8,7,4,9,2,7,1,2,2,3,2,4,0,3,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0
30,18,6,6,2,6,1,2,4,6,1,2,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
31,11,7,10,5,6,3,2,3,3,3,4,3,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
32,15,11,8,4,7,4,1,1,2,6,2,2,0,3,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
33,9,6,4,5,4,5,3,2,4,4,3,2,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
34,12,3,7,7,5,6,4,6,5,0,3,3,4,1,0,2,1,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0
35,17,6,4,2,7,3,6,8,4,1,0,2,3,1,2,2,1,1,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0
36,14,10,6,5,11,3,12,4,2,4,3,3,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
37,9,10,7,7,5,8,7,3,4,4,3,1,1,0,1,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0
38,10,7,7,4,3,6,2,1,4,5,3,2,3,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
39,15,2,7,4,5,4,2,6,1,5,3,2,0,0,1,1,1,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0
40,9,3,8,4,5,1,4,5,2,3,4,2,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
41,13,3,6,5,6,4,2,3,6,4,4,3,1,0,1,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
42,13,5,9,5,5,3,4,2,4,4,1,4,4,3,1,1,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0
43,12,5,6,4,5,7,1,2,2,6,4,3,5,1,1,2,1,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0
44,11,5,9,5,6,2,5,5,3,2,2,3,2,3,1,3,1,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0
45,12,7,7,4,6,1,2,7,2,0,1,3,7,0,2,3,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
46,16,9,5,1,5,1,4,3,2,0,0,3,1,1,2,1,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
47,10,6,9,5,6,5,4,5,4,4,0,3,0,1,1,2,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
48,7,7,4,6,4,7,3,2,5,4,1,2,3,3,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
49,9,6,5,6,7,2,6,4,5,4,3,3,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
50,12,8,8,2,7,5,2,1,4,6,2,2,2,0,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
