sentence_index,NN,RB,JJ,NNS,VBG,IN,VB,DT,CC,NNP,VBP,VBN,VBZ,TO,PRP,MD,CD,WRB,PRP$,VBD,WDT,JJR,WP,RBR,POS,JJS,NNPS,RP,EX,(,),UH,RBS,FW
1,14.0,6.0,15.0,8.0,1.5,11.5,3.5,7.0,5.0,0,4.0,1.5,4.5,0,4.5,2.0,0.5,2.5,1.0,1.0,1.5,0.5,0,1.5,1.0,0,0,0,0,0,0,0,0,0
2,17.5,4.0,10.5,11.0,5.5,13.5,7.5,8.0,5.0,0,4.5,1.5,4.0,3.0,7.0,3.5,0.5,2.0,1.5,1.5,1.0,3.0,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0,0
3,17.5,5.5,11.5,10.5,8.5,11.0,6.5,9.0,5.0,1.0,2.5,1.5,2.5,3.0,4.0,3.0,0,3.5,1.5,3.5,0,1.0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0
4,15.5,6.0,15.5,20.0,6.5,14.5,8.0,8.0,8.0,0.5,3.5,3.0,2.0,3.0,2.5,5.0,0,2.0,1.5,0,1.0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
5,18.5,6.0,15.0,17.0,7.0,11.0,6.0,9.0,7.0,0,5.0,3.0,4.0,3.0,2.5,4.0,0.5,1.5,1.5,0,2.0,1.0,0.5,2.0,0.5,0,0,0.5,0,0,0,0,0,0
6,14.0,7.5,12.5,18.5,7.0,10.0,3.5,7.0,6.0,0,8.0,5.0,4.0,2.5,5.0,1.0,0,4.0,2.0,0,0.5,1.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0
7,18.5,6.5,12.0,20.5,7.0,13.0,11.0,8.0,5.0,0.5,2.5,3.5,1.0,4.0,3.0,5.0,0.5,1.0,2.5,2.5,2.0,0.5,1.0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0
8,25.0,5.0,19.0,19.0,9.5,17.5,11.0,12.0,7.5,1.0,4.0,3.5,4.0,4.5,3.0,5.5,1.0,0,0,0.5,1.5,0,1.5,0,1.0,0,0,0.5,0,0,0,0,0,0
9,23.0,6.0,17.0,22.5,9.5,19.0,8.5,11.0,7.0,0,3.0,5.0,7.0,3.0,4.0,4.5,0.5,3.0,2.5,0,0.5,0,1.0,0.5,0.5,0,0,0,0,0,0,0,0,0
10,22.0,11.0,14.5,23.5,8.0,12.5,13.5,10.5,6.0,0.5,5.0,4.5,5.0,5.0,3.5,6.0,1.0,2.5,2.5,0.5,0.5,0,0.5,1.0,0,0,0,0.5,0.5,0,0,0,0,0
11,30.5,3.5,29.0,24.5,7.5,21.0,13.5,10.0,9.0,6.0,5.0,3.5,6.0,5.5,2.0,3.5,3.5,2.0,0.5,1.0,0.5,1.0,0,0.5,0.5,0,0,1.0,0.5,0,0,0,0,0
12,28.5,3.0,25.5,28.0,10.0,18.5,13.0,8.0,7.5,8.0,5.0,5.5,5.0,7.0,2.5,5.0,3.0,3.5,1.5,0,2.0,2.0,1.0,0,0.5,0,0,0,0,0,0,0,0,0
13,20.5,7.0,14.5,23.0,8.0,17.0,7.5,11.0,7.0,1.0,4.0,5.5,5.0,2.5,3.5,4.5,0,1.5,0.5,1.5,0.5,1.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
14,30.5,7.5,29.5,30.0,8.0,16.5,13.5,11.0,11.0,7.0,4.5,2.5,9.5,6.0,3.5,2.5,4.0,2.5,1.5,0,1.0,1.5,1.5,0.5,0,0,0.5,0,0,1.0,1.0,0,0.5,0
15,31.5,6.0,31.5,33.5,12.5,25.0,11.0,10.5,8.5,11.5,6.0,3.5,6.5,5.0,4.5,2.0,4.0,2.5,1.0,0,1.5,1.0,1.0,0.5,1.0,0,0,0,0,0,0,0,0.5,0
16,30.5,7.5,30.0,29.0,12.5,25.0,10.0,11.0,7.5,9.5,7.0,7.5,4.0,3.5,4.5,4.0,3.0,3.5,4.0,0.5,2.0,5.0,1.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0
17,39.0,8.5,25.0,37.0,10.0,28.5,13.0,13.0,8.0,9.5,3.0,6.5,5.0,6.0,3.0,6.5,3.0,1.5,3.0,0.5,0.5,0.5,3.0,0.5,0.5,0,0,0.5,0,0.5,0.5,0,0,0
18,31.5,52.0,42.0,32.5,31.5,24.0,15.0,10.5,7.0,10.0,5.0,7.5,5.5,3.5,2.5,4.5,3.5,3.0,1.5,3.0,1.5,1.0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0
19,44.5,39.0,30.5,34.0,50.5,22.0,12.5,9.5,10.5,10.5,3.5,3.5,6.5,3.0,0.5,3.0,4.0,1.5,2.5,1.0,2.0,2.5,0.5,0.5,2.0,0,0,0,0.5,0,0,0,0,0
20,67.5,33.0,32.0,35.5,45.5,23.0,11.0,7.0,7.5,13.0,7.5,3.0,6.0,5.5,3.5,2.5,3.5,2.5,4.0,1.0,1.0,1.5,0,1.0,1.5,0,0,0.5,0,0,0,0,0,0
21,101.5,8.5,40.0,35.5,44.5,27.0,11.5,9.5,10.0,15.5,4.5,6.5,8.0,5.0,3.5,2.0,3.5,2.5,1.0,0,1.5,1.0,0.5,0.5,0.5,1.0,0.5,0,0,0,0,0,0,0
22,42.0,16.0,43.5,33.5,29.0,23.0,10.0,8.5,9.5,9.5,5.5,33.0,6.0,4.0,3.5,2.5,3.0,1.5,1.5,13.5,1.5,1.0,1.5,1.0,0.5,0,0.5,0,0,0,0,0,0,0
23,35.5,56.5,38.5,34.0,41.5,25.5,12.5,8.0,9.0,17.0,3.5,5.5,8.5,3.5,3.5,3.5,6.0,2.5,3.5,2.5,1.5,1.5,1.5,0.5,1.0,0,0.5,0,0,0,0,0,0,0
24,98.0,8.0,54.0,36.5,12.5,27.0,20.5,8.0,8.0,24.0,11.5,7.0,6.0,5.0,4.5,1.5,7.0,3.5,2.5,2.0,1.0,2.0,1.0,0.5,0,0.5,1.5,1.0,0,0,0,0,0.5,0.5
25,96.0,75.5,73.0,25.0,58.0,15.0,11.0,7.5,7.0,6.0,7.5,7.5,4.5,3.0,3.5,2.5,3.0,2.0,4.0,6.5,1.5,0.5,0,1.0,0,0,0,1.5,0,0.5,0.5,0,0,0
26,65.5,18.5,58.5,19.0,26.5,12.5,8.5,5.5,4.5,5.0,3.5,3.5,3.0,3.0,1.0,3.5,2.0,0.5,0.5,3.0,0.5,1.0,0.5,1.0,0,0,0,0,0,0.5,0.5,0,0.5,0
27,67.0,20.0,54.0,20.5,9.0,14.0,10.0,10.0,8.5,11.0,4.5,3.0,3.5,3.5,2.5,2.5,3.0,1.5,1.5,3.0,0.5,1.0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0.5
28,12.0,6.0,8.5,10.0,4.5,6.0,6.0,6.0,4.5,3.0,2.0,1.0,4.5,2.0,2.5,2.0,1.5,1.0,1.0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0
29,21.0,4.0,16.0,19.5,6.0,12.5,8.0,7.5,6.5,2.0,1.5,2.0,2.5,2.5,1.0,3.5,2.0,1.0,1.0,1.0,1.0,0,0.5,0,0.5,1.0,0,0,0,0.5,0.5,0,0,0
30,16.5,4.5,17.0,19.5,5.5,11.0,7.5,7.5,5.0,3.0,3.0,2.0,2.5,1.5,2.0,2.0,2.0,0.5,0.5,0,2.0,0.5,0,1.5,0.5,0,0,0,0.5,0,0,0,0,0
31,25.0,4.5,15.0,20.5,6.0,9.5,5.5,6.5,5.5,5.5,4.0,2.0,3.0,1.0,1.0,2.5,2.5,2.0,2.0,1.0,1.0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0
32,12.0,3.5,6.0,5.0,2.0,3.5,1.0,1.5,3.5,0,3.0,1.0,1.0,0,2.0,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
33,42.5,62.0,30.5,19.0,17.5,13.0,6.5,6.5,5.5,6.5,5.5,3.0,3.5,1.5,1.0,2.0,2.5,0,1.5,0.5,1.0,1.0,1.0,0.5,0,0,0,0,0,0.5,0.5,0,0,0
34,59.5,56.0,31.0,19.5,25.5,10.5,6.5,3.5,6.5,8.5,3.0,2.0,1.5,1.5,1.0,1.0,3.0,0,1.5,1.5,1.5,1.0,0,0,0,1.0,0,0.5,0.5,0,0,0.5,0,0
35,18.5,48.0,16.5,18.0,8.5,11.5,8.0,6.5,5.5,0,4.5,4.0,5.0,4.0,3.5,2.5,0.5,0,2.0,0,0,1.0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0
36,37.0,40.5,20.5,21.5,8.5,15.0,10.0,6.5,7.5,7.0,3.0,4.0,3.0,4.0,1.5,1.5,3.0,0.5,2.0,1.0,0,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0.5,1.0,0,0
37,5.0,1.5,3.5,6.5,1.5,3.5,1.5,4.5,2.0,0,3.0,2.5,0,0.5,1.5,0.5,0,1.0,1.0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,15.0,2.5,5.5,6.5,1.5,5.0,1.0,3.0,3.5,1.5,1.5,2.0,3.5,1.5,1.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0
39,33.0,51.0,24.5,17.0,7.0,12.5,2.5,6.0,4.0,0,4.0,5.5,1.0,1.0,3.0,0.5,0.5,2.0,1.5,4.0,0.5,2.5,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0
40,16.5,49.5,16.5,20.0,8.0,13.0,6.5,6.5,5.0,10.0,6.0,4.0,1.0,2.5,3.5,2.0,2.5,2.0,1.5,0.5,1.5,1.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0
41,25.0,65.0,35.0,17.0,16.5,14.5,8.0,3.5,5.0,7.0,3.5,2.0,1.5,3.0,2.5,2.5,2.5,1.0,1.5,1.0,1.5,1.5,1.0,1.0,0,0.5,0.5,0,0,0,0,0,0,0
42,35.5,65.0,32.5,17.0,6.5,8.5,8.5,6.0,5.5,9.0,4.5,3.0,4.5,4.5,3.0,2.0,2.5,1.0,1.5,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
43,25.0,62.5,31.0,15.0,21.0,11.5,8.5,4.0,6.0,5.0,4.0,0.5,3.0,2.0,2.5,3.0,2.5,1.0,2.5,0.5,1.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0
44,21.0,64.5,34.5,18.5,19.0,12.0,10.0,5.0,6.0,6.0,4.0,2.5,3.0,3.0,3.0,2.5,2.5,1.5,1.5,0.5,0.5,0.5,0.5,1.0,0,0.5,1.5,0,0,0,0,0,0,0
45,21.5,62.0,36.5,20.0,18.0,14.5,9.0,5.5,3.0,5.5,4.0,4.0,3.5,4.5,4.5,3.0,2.5,1.5,2.5,0,1.0,0,0.5,0,0,1.0,0.5,0,0,0,0,0,0,0
46,96.0,65.5,67.5,13.0,102.0,10.0,7.0,2.0,3.5,5.5,3.0,4.0,2.0,3.5,1.0,1.5,2.5,0.5,1.0,1.5,0,1.0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0
47,22.0,64.0,33.5,19.5,21.5,13.0,8.5,5.0,6.5,4.5,4.0,3.5,2.5,2.0,4.0,2.0,2.5,2.5,1.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
48,23.5,62.5,32.0,15.0,14.0,13.0,10.0,4.0,4.0,7.0,3.5,2.5,1.5,2.5,2.0,2.5,2.5,2.0,1.0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
49,98.5,64.0,61.0,12.0,104.0,7.5,7.5,3.0,4.0,5.5,3.5,3.5,1.0,2.5,1.0,2.0,3.0,1.5,1.0,1.0,0,1.0,0.5,0.5,0,0.5,1.0,0,0,0,0,0,0,0
50,22.0,62.0,30.5,13.5,16.0,11.0,8.0,6.0,3.0,6.5,3.5,2.0,3.0,3.5,2.0,2.5,2.5,0.5,2.0,0,1.0,0.5,1.0,1.5,0,0.5,0.5,0,0,0,0,0,0,0
