sentence_index,NNS,NN,JJ,IN,VBG,RB,VB,VBP,NNP,VBN,DT,CC,VBZ,TO,MD,CD,VBD,PRP,PRP$,WRB,WDT,WP,POS,RBR,JJR,(,),EX,RP,JJS,NNPS,RBS,FW,PDT
1,19,23,25,13,5,10,3,6,0,0,4,9,6,4,1,0,2,4,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2,17,26,19,19,3,9,5,6,10,5,5,10,3,3,3,0,1,5,3,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0
3,15,29,20,19,5,8,7,5,0,6,7,6,3,5,1,0,3,4,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
4,19,23,18,16,7,16,9,5,2,3,9,6,5,6,4,0,1,4,3,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
5,16,25,26,19,1,5,9,4,8,4,8,5,5,5,4,0,0,4,3,3,2,0,0,1,0,3,3,2,0,1,0,0,0,0
6,20,19,24,17,2,10,4,7,5,5,8,7,5,3,2,0,0,5,2,2,1,0,1,1,0,1,1,1,1,0,0,0,0,0
7,13,22,25,11,4,6,7,4,4,4,6,8,6,1,5,0,0,3,4,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0
8,18,32,19,19,10,5,12,2,3,2,8,6,4,5,5,0,1,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
9,28,26,22,22,9,4,12,5,2,0,10,5,3,5,6,0,0,1,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
10,24,23,28,19,7,2,8,5,2,0,11,6,5,4,3,0,0,3,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11,36,35,31,23,14,6,14,5,9,3,11,12,1,3,9,4,1,2,1,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0
12,53,38,30,24,9,2,15,4,13,3,8,13,3,5,8,5,0,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
13,51,29,29,26,7,3,14,2,13,3,10,11,4,5,5,5,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
14,36,37,24,26,8,8,16,4,19,1,9,10,4,7,6,5,0,2,3,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0
15,35,32,42,23,15,3,15,7,12,1,13,9,8,3,3,6,0,1,1,1,2,1,0,1,1,0,0,0,2,0,0,1,0,0
16,42,36,32,29,16,6,14,8,10,3,8,8,7,4,3,6,1,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
17,51,38,37,33,15,7,16,10,15,6,11,10,5,6,6,7,0,3,5,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0
18,44,46,40,30,17,2,15,8,17,4,8,9,10,5,2,7,1,5,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0
19,51,36,38,30,9,9,18,5,19,1,8,12,7,9,3,7,1,4,3,1,2,3,0,1,1,0,0,0,0,1,0,0,0,0
20,33,66,79,20,36,61,8,3,14,32,6,7,7,3,1,6,11,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0
21,41,60,57,20,11,62,12,4,14,28,8,8,9,4,2,6,6,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
22,48,51,132,23,16,20,13,6,18,30,4,7,4,3,4,5,9,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
23,13,10,14,8,5,2,5,2,0,1,6,4,1,3,2,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
24,158,31,50,25,11,36,10,13,12,5,7,10,11,5,4,5,1,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0
25,164,31,54,20,10,30,13,14,15,3,6,8,8,7,3,6,1,0,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
26,204,19,41,11,7,16,12,18,15,5,6,5,10,5,6,4,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,201,31,30,11,7,14,11,14,12,6,10,4,8,5,6,4,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
28,128,63,28,16,15,17,17,11,13,1,8,8,8,6,5,5,0,4,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1
29,197,21,36,15,4,19,13,14,12,1,7,7,10,3,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
30,6,8,4,5,2,5,3,1,3,1,4,3,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,198,22,41,15,4,29,6,17,7,3,5,7,7,3,3,3,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
32,197,27,35,17,8,15,5,18,11,4,10,4,13,3,1,3,2,0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
33,160,41,42,14,6,15,3,27,0,1,3,4,6,3,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34,41,118,68,16,7,5,13,10,5,78,5,5,2,2,5,3,13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,164,31,40,16,10,12,9,21,4,1,5,5,8,5,4,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,43,63,71,17,12,34,12,7,14,76,3,6,4,5,5,4,14,1,2,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0
37,133,95,38,17,10,34,4,15,3,2,12,6,9,1,2,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
38,130,82,44,15,11,31,6,13,10,3,6,3,8,3,1,3,2,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0
39,15,200,87,9,21,13,4,9,0,12,6,7,4,3,2,0,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
40,24,195,96,10,19,3,7,8,3,7,3,5,0,2,4,2,4,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0
41,19,16,22,16,6,8,4,3,2,1,9,4,5,4,1,0,0,2,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
42,50,216,51,15,31,6,6,8,2,4,6,8,6,3,4,0,2,1,2,1,3,0,1,0,0,2,2,0,0,0,0,0,0,0
43,147,111,33,19,19,14,5,10,0,2,6,5,11,3,3,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
44,15,301,49,17,14,4,1,7,1,1,5,5,3,1,0,1,6,1,2,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0
45,57,158,43,27,32,9,7,7,2,1,11,8,7,5,3,0,3,2,2,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0
46,27,154,46,20,117,11,10,16,1,1,8,6,3,4,2,2,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
47,22,151,35,14,64,39,9,6,0,12,13,8,4,3,4,0,3,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
48,23,174,40,17,7,9,18,16,1,5,5,8,1,4,8,0,2,3,4,0,1,3,0,0,1,0,0,1,1,1,0,1,0,0
49,227,37,27,18,15,3,8,29,12,3,9,8,10,4,2,3,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50,170,123,32,16,9,6,13,17,19,0,8,7,8,4,3,3,4,1,3,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
