sentence_index,NN,NNS,JJ,IN,RB,DT,VBG,VB,PRP,VBP,CC,VBZ,VBN,TO,NNP,WRB,MD,PRP$,VBD,WDT,CD,JJR,WP,RBR,RP,POS,EX,UH,RBS,NNPS,JJS,(,)
1,12,3,11,10,5,6,4,7,6,4,5,2,1,1,0,0,3,2,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0
2,10,3,3,8,0,3,4,3,5,2,4,4,0,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
3,8,5,5,11,4,4,4,3,7,3,3,5,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,3,2,5,4,8,3,1,6,8,5,3,2,0,2,0,2,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
5,7,4,10,9,8,5,2,3,5,5,4,2,2,1,0,3,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0
6,9,2,7,5,9,6,1,2,8,3,3,0,4,3,0,2,0,1,6,0,1,0,0,0,1,0,1,1,0,0,0,0,0
7,15,4,7,10,4,5,1,5,5,3,1,2,2,2,1,0,2,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0
8,9,4,5,10,7,6,1,11,8,3,3,1,1,3,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,8,7,8,8,6,2,5,5,2,3,3,1,3,1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10,8,11,8,12,7,5,4,3,4,3,3,2,1,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,10,10,9,5,3,3,3,5,6,5,1,1,1,8,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
12,8,7,11,7,7,5,3,4,7,6,6,2,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
13,11,7,8,6,5,3,3,3,3,3,4,4,3,2,0,1,1,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0
14,6,5,9,5,6,3,3,7,5,3,5,1,1,3,0,2,2,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0
15,16,3,3,11,3,8,5,5,9,2,5,4,0,1,1,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
16,7,3,11,8,4,5,5,5,4,2,3,3,1,3,0,2,3,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0
17,9,8,9,11,4,5,3,2,4,2,3,0,5,2,0,2,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0
18,9,9,10,4,5,3,4,5,4,3,2,2,1,1,0,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,16,5,9,8,6,10,1,3,6,1,1,2,0,3,0,1,0,1,8,2,0,0,0,0,0,0,1,1,0,0,0,0,0
20,15,4,2,9,6,5,5,0,4,2,4,3,2,1,0,1,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0
21,11,5,8,8,5,5,6,4,5,3,3,6,3,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
22,10,10,4,7,5,6,6,5,4,3,3,6,1,2,0,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
23,14,8,7,5,7,5,4,8,5,4,5,3,2,5,0,3,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
24,15,10,6,5,6,6,5,6,5,6,2,4,1,3,0,1,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
25,11,13,9,10,6,6,6,5,4,4,4,4,4,4,1,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
26,14,7,6,12,9,8,5,7,6,4,2,3,1,4,0,2,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
27,20,16,11,10,7,7,4,5,3,3,6,6,0,1,0,1,3,1,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0
28,14,17,13,12,7,12,3,1,7,8,6,7,7,1,0,2,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0
29,20,14,15,13,8,12,2,4,5,8,6,8,5,3,0,3,1,2,0,3,1,1,1,3,0,1,1,1,1,0,0,0,0
30,14,18,8,12,8,7,8,8,7,5,9,7,6,5,2,3,1,5,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0
31,27,15,16,14,9,10,8,12,8,9,8,3,2,7,0,4,3,5,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0
32,29,19,16,20,5,10,13,8,8,11,8,13,10,4,0,5,2,5,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0
33,26,18,26,19,9,14,12,10,9,9,10,9,1,4,1,3,2,3,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0
34,26,24,26,23,9,11,16,11,9,7,7,7,1,4,0,1,4,4,0,1,0,0,2,1,0,1,0,0,1,0,0,0,0
35,29,24,20,25,9,11,18,8,7,11,11,8,4,4,0,2,0,3,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
36,26,30,19,21,14,11,10,5,6,11,10,9,9,5,2,3,1,2,0,1,0,1,1,0,1,2,1,0,1,0,0,0,0
37,32,24,16,22,15,12,15,11,7,9,7,9,6,6,1,5,1,3,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
38,24,22,18,24,12,12,15,9,8,5,7,6,5,5,1,3,3,2,3,2,0,2,0,0,2,0,0,0,0,0,0,0,0
39,26,21,19,23,9,8,13,10,10,7,10,8,5,3,2,2,3,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
40,25,18,21,21,7,8,9,10,13,7,9,10,2,5,2,5,1,4,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0
41,35,23,17,24,11,14,13,9,7,6,9,7,4,5,0,3,3,4,1,1,0,1,0,0,3,2,0,0,0,0,0,0,0
42,21,15,19,18,12,11,8,12,14,13,7,5,9,9,0,5,3,4,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
43,27,41,31,24,5,11,14,7,4,8,9,6,4,6,0,4,1,3,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
44,28,30,24,22,7,12,11,9,4,5,11,10,4,4,0,1,5,4,0,1,1,1,2,0,0,1,0,0,1,0,0,0,0
45,51,37,34,29,10,13,16,10,4,9,9,8,7,5,13,4,3,3,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0
46,56,40,46,38,13,13,22,17,5,7,10,11,5,4,24,2,3,1,2,0,8,2,1,0,0,0,0,0,1,2,0,1,1
47,56,39,67,30,99,8,14,20,3,9,8,6,19,4,28,3,5,2,4,2,7,3,1,3,0,0,0,0,0,0,0,0,0
48,76,114,40,8,45,6,13,5,1,14,7,8,3,3,8,1,0,2,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0
49,13,5,7,8,3,4,3,5,3,2,3,1,3,3,3,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
50,129,77,64,20,2,4,25,10,4,13,6,3,8,2,9,0,3,1,3,1,3,1,0,0,1,1,0,0,0,0,0,0,0
