sentence_index,NN,IN,NNS,JJ,DT,VBG,RB,NNP,VB,PRP,VBP,VBZ,CC,PRP$,TO,VBN,WRB,MD,CD,VBD,WDT,WP,POS,JJR,EX,RP,RBR,JJS,RBS,UH,FW,NNPS,PDT,),(,WP$
1,22.0,17.5,7.0,12.5,12.5,5.0,7.5,1.0,5.0,11.5,6.0,6.0,5.5,1.5,1.0,2.0,4.0,3.0,0,5.0,1.5,1.0,0,0.5,1.0,0.5,0,0,0,1.5,0,0,0,0,0,0
2,36.5,25.0,8.5,13.5,14.5,9.0,9.5,3.0,8.0,12.5,3.5,6.5,4.0,4.0,2.5,2.0,3.5,2.0,0,6.0,0.5,0,0.5,0.5,1.0,0,0,0,0,1.0,0,0,0.5,0,0,0
3,32.0,22.5,12.0,14.0,12.5,9.5,8.5,3.5,2.5,12.5,4.0,6.0,6.5,3.0,3.0,2.0,4.5,2.0,0.5,5.5,1.0,0.5,0.5,0,1.5,0,0,0,0,0.5,0,0,0,0,0,0
4,29.0,24.5,16.0,19.0,13.5,12.0,10.0,1.5,7.0,10.5,6.5,6.5,7.0,4.0,3.0,3.0,1.5,2.0,0,2.0,2.0,1.5,0.5,1.0,0,0,0,0,0,0.5,0,0,0,0,0,0
5,34.0,24.0,12.5,14.5,15.5,12.0,8.0,2.0,8.0,11.0,6.0,6.5,6.0,2.5,4.0,0.5,3.0,2.0,0,0.5,1.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0,0,0,0,0,0,0,0
6,24.0,23.5,18.0,18.0,14.0,10.0,11.0,5.0,6.5,7.5,6.0,5.5,6.0,4.0,2.5,2.0,3.0,3.5,1.5,0.5,0.5,0.5,0,0,1.0,1.0,0,0,0.5,0,0,0,0,0,0,0
7,30.0,20.5,22.0,17.0,12.0,12.0,9.5,1.5,3.0,8.0,10.5,6.5,8.0,3.5,2.0,2.0,3.5,2.5,1.0,1.0,3.0,2.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0,0,0,0,0,0,0.5
8,28.5,23.5,21.0,14.5,11.0,11.0,6.5,1.0,3.5,9.0,7.5,5.5,5.5,4.5,3.5,1.5,3.0,1.5,1.5,1.0,2.5,1.0,0.5,0.5,0.5,1.5,0,0,0,0,0,0,0.5,0,0,0
9,34.5,21.5,17.5,19.0,15.0,5.5,9.0,8.0,10.0,8.5,7.0,10.5,8.0,4.0,5.0,1.5,4.5,3.0,2.0,0.5,3.0,2.0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0,0
10,32.5,25.5,21.0,16.0,11.5,7.5,8.0,9.5,10.5,7.5,8.5,9.0,8.0,2.5,3.5,6.5,3.5,1.5,2.0,1.0,2.0,3.0,1.0,1.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
11,27.0,21.5,24.0,18.0,13.0,7.5,9.5,8.5,8.0,8.0,10.0,5.0,7.5,3.0,4.5,4.5,4.5,1.0,2.0,3.0,1.5,2.0,2.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
12,28.0,25.0,24.5,21.5,17.0,15.0,7.0,9.5,7.0,8.0,9.5,8.0,5.5,4.0,2.5,2.5,2.5,1.0,2.0,0.5,1.5,2.0,1.0,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0
13,32.0,19.5,25.0,21.5,11.0,10.5,10.5,9.0,12.0,7.0,5.0,6.5,8.5,4.5,5.5,1.5,1.5,2.0,2.5,2.0,1.0,2.0,1.0,0,0.5,2.0,0,0.5,0.5,0,0,0,0,0,0,0
14,39.0,21.5,22.5,14.5,11.0,6.5,9.0,10.5,8.0,6.0,8.5,7.0,9.0,3.5,3.5,3.0,3.0,0.5,2.0,1.0,1.0,1.0,0.5,0,1.0,0,0,0.5,0,0,0,0,0,0,0,0
15,32.0,22.5,19.0,18.5,15.5,10.5,6.5,9.0,10.0,9.5,9.5,4.5,8.0,4.0,5.5,3.0,2.5,2.0,2.0,1.5,1.0,1.0,1.0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
16,34.0,23.5,25.0,20.5,14.0,8.5,5.0,10.5,9.0,5.0,9.0,4.0,8.5,5.5,2.5,4.5,2.0,1.0,2.0,3.0,1.0,2.5,0,0.5,0,1.5,0,0.5,0,0,0,0,0,0,0,0
17,35.5,19.5,21.5,22.5,12.5,13.5,7.0,6.5,10.5,8.0,6.0,8.0,7.5,4.5,4.0,4.0,3.0,2.5,2.0,1.0,2.0,1.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0
18,41.5,23.0,13.0,15.0,15.5,13.5,7.0,8.0,11.5,7.5,6.0,11.0,6.5,4.0,4.0,4.5,4.0,3.0,2.5,0,2.0,1.0,0.5,0.5,0.5,0,0.5,0,1.0,0,0,0,0,0,0,0
19,32.0,20.5,21.5,24.5,15.0,12.0,12.0,7.5,10.0,6.5,8.0,8.5,7.5,3.5,2.5,5.0,2.0,2.0,2.0,2.0,1.5,1.5,0.5,1.0,0.5,1.0,0,0,0,0,0,0,0,0,0,0
20,34.0,21.5,18.0,20.0,16.0,12.0,9.0,8.5,13.0,9.0,9.5,7.5,6.0,6.5,3.0,4.0,3.0,3.5,2.0,0.5,2.0,1.5,1.0,1.0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0
21,29.5,24.5,26.5,20.5,13.0,11.5,9.0,9.5,9.5,12.0,10.0,5.0,7.0,5.5,4.0,4.0,3.5,1.5,2.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0,0,0,0,0,0,0,0,0
22,36.5,24.5,21.0,20.5,15.0,13.0,9.5,11.0,8.5,7.5,7.5,7.5,7.5,5.0,4.5,1.5,2.5,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.5,0.5,0,0.5,1.0,0,0.5,0,0,0,0,0
23,39.0,26.0,24.5,21.0,11.0,11.5,9.5,9.5,9.0,6.5,7.0,7.0,9.0,5.5,4.5,4.5,1.5,3.0,2.0,0.5,0.5,1.0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,1.0,1.0,0
24,35.5,23.5,19.5,20.0,14.0,11.0,13.0,10.0,7.0,9.5,8.0,7.0,8.0,4.0,4.0,4.0,3.0,1.0,2.0,4.5,1.5,2.5,0.5,0.5,1.0,0.5,0.5,0,0,0,0.5,0,0,0,0,0
25,42.0,27.0,20.5,24.5,15.5,13.5,8.0,11.5,11.5,6.5,6.5,9.5,7.0,6.0,4.0,2.5,3.0,2.5,3.0,0,1.0,2.0,0,0.5,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0
26,34.5,25.0,24.0,20.0,15.5,11.0,8.5,12.5,8.5,8.5,7.5,9.5,5.5,6.5,4.0,2.5,4.0,2.0,2.5,1.5,2.0,1.0,0.5,0.5,0.5,1.0,0,0.5,0.5,0,0,0,0,0,0,0
27,39.0,25.5,27.0,26.0,13.0,13.5,8.0,8.0,8.5,7.0,9.0,8.0,8.5,5.0,5.5,5.5,1.0,1.0,2.5,1.0,3.0,1.5,0.5,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0
28,34.0,25.5,24.0,20.0,15.0,15.5,15.5,9.0,8.0,10.0,13.5,7.0,8.0,4.5,4.0,6.0,5.0,1.5,2.5,0.5,1.5,2.0,0.5,0.5,1.5,0,0.5,0,0,0,0,0.5,0,0,0,0
29,37.5,27.0,30.5,24.5,14.5,17.0,9.0,9.5,5.5,7.0,10.0,9.0,7.5,5.0,4.0,2.0,3.5,3.0,2.5,2.0,1.0,1.5,0.5,1.0,2.0,0,1.0,0.5,0,0,0,0,0,0,0,0
30,36.5,32.0,29.5,23.5,16.5,13.0,14.5,10.0,8.5,10.5,10.0,8.0,7.0,4.0,4.5,4.5,2.0,2.0,2.0,1.0,1.5,1.5,0.5,2.0,1.0,0,0.5,0,0,0,0,0,0,0,0,0
31,37.0,31.0,27.5,22.5,13.5,16.0,8.0,12.0,9.0,8.5,6.0,8.0,7.0,3.0,3.0,3.5,1.5,0.5,2.0,0.5,1.0,1.0,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0
32,38.0,27.5,29.0,27.0,14.0,11.5,9.5,11.0,8.5,8.0,10.5,6.5,6.5,3.5,5.0,5.0,3.0,2.0,2.0,2.0,1.5,1.0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
33,37.5,26.5,22.5,27.0,12.0,17.0,11.0,8.5,10.5,7.0,7.5,8.5,6.0,2.5,5.0,4.5,3.0,4.5,2.0,0.5,1.5,1.5,0,0.5,1.5,0.5,0,0,0,0,0.5,0,0,0,0,0
34,38.0,21.0,16.0,17.5,17.0,13.0,8.0,8.0,6.5,5.0,2.5,9.0,5.0,2.5,4.5,1.5,2.5,1.0,2.0,1.0,1.5,1.0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0
35,39.5,29.5,21.5,24.0,16.0,14.5,7.5,8.5,9.5,8.0,7.0,6.5,5.5,4.0,5.0,6.5,2.5,1.5,2.0,1.5,1.5,2.0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
36,41.5,28.5,21.0,23.5,14.0,16.0,10.0,9.5,8.5,9.5,5.5,8.5,5.0,6.0,4.5,2.5,1.5,2.0,2.0,0.5,2.0,1.5,1.0,2.5,0,0.5,0.5,1.0,0,0,0,0,0,0,0,0
37,37.0,29.0,27.0,22.0,12.0,21.0,11.5,10.0,7.0,9.5,7.0,8.5,8.5,5.0,3.0,6.0,3.0,1.5,2.0,0.5,2.0,2.5,0.5,0,0,0,1.0,0.5,0.5,0,0,0,0,0,0,0
38,31.0,30.0,29.5,27.0,14.0,15.5,8.0,9.5,9.0,7.0,6.0,11.0,5.0,3.0,4.5,5.5,2.5,1.5,2.0,0.5,2.5,1.0,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0
39,34.5,29.0,27.0,30.0,13.5,14.0,13.0,8.0,8.5,7.5,5.0,6.5,4.5,4.5,5.0,5.0,2.5,1.0,2.5,4.5,2.5,2.0,1.0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0
40,38.0,30.5,29.5,22.5,14.0,21.5,10.0,8.0,8.0,9.0,7.5,8.5,6.0,5.0,4.5,4.0,4.0,2.0,2.0,1.0,2.5,1.0,0.5,1.5,0,0,0,0.5,0,0,0,0,0,0,0,0
41,35.5,28.0,31.5,30.5,14.0,15.0,8.5,8.5,6.0,4.0,7.5,8.5,6.5,3.5,4.0,5.0,3.0,1.0,2.0,3.5,1.0,2.5,1.5,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0
42,36.0,30.0,31.5,30.5,13.0,18.0,9.0,8.0,6.5,7.5,9.0,8.0,5.5,3.0,5.0,5.0,4.0,2.0,2.5,1.5,2.0,1.0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0
43,40.0,29.0,30.5,26.5,14.0,16.5,9.5,10.0,8.5,5.0,5.5,6.0,6.0,5.0,5.0,5.5,4.0,2.5,2.5,2.5,1.0,2.0,0.5,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0.5,0
44,37.5,31.0,31.5,31.5,10.5,21.5,11.5,8.0,11.0,6.0,5.5,7.5,5.0,4.5,5.0,4.0,3.0,3.5,2.0,0,2.5,2.0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
45,36.0,33.0,33.5,34.0,10.5,19.5,7.0,10.0,11.0,4.0,7.5,5.0,7.5,1.5,4.0,5.5,3.0,3.0,2.0,0.5,2.0,1.0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
46,40.5,27.5,27.5,28.5,14.0,14.0,12.5,8.0,4.0,3.0,5.5,8.0,5.0,3.5,4.0,5.5,3.0,0.5,2.5,2.5,1.5,1.0,1.5,1.0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
47,48.5,27.5,30.5,32.0,11.0,21.0,10.5,13.5,8.0,2.0,8.0,5.0,7.0,3.5,4.0,4.0,2.5,2.5,2.5,2.5,2.5,1.0,1.0,1.0,0.5,0,0,0,0,0.5,0.5,0.5,0,0,0,0
48,53.0,28.5,26.0,25.0,16.5,14.5,17.5,15.5,10.0,5.5,6.0,9.5,5.5,5.0,4.0,8.5,2.5,2.5,2.5,1.5,1.5,1.0,1.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0
49,38.0,27.5,34.5,33.5,13.5,13.5,12.0,12.5,12.0,7.0,10.0,3.5,6.5,3.5,4.5,5.5,2.5,4.5,2.5,2.5,1.0,1.5,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0
50,44.5,33.5,30.0,25.5,18.5,17.0,9.5,14.5,10.5,7.0,8.5,6.0,7.0,4.0,4.0,4.0,3.5,1.5,2.0,1.0,2.0,1.0,1.0,1.0,0,0.5,1.0,1.0,0,0.5,0,0,0,0,0,0
