sentence_index,NN,NNS,JJ,IN,NNP,VBG,VB,CC,DT,MD,TO,RB,VBP,VBZ,VBN,WRB,WDT,PRP$,WP,PRP,VBD,JJR,POS,RBR,NNPS,JJS,(,),EX,CD,RBS,RP,PDT
1,43,13,28,16,9,5,8,11,7,5,3,4,2,7,2,2,1,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
2,43,22,21,18,17,8,13,4,12,8,5,4,1,3,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
3,42,29,26,22,13,6,9,5,7,4,5,2,6,4,0,1,1,1,1,3,1,2,0,2,0,0,0,0,0,0,0,0,0
4,35,25,26,15,24,11,11,7,10,8,2,1,3,2,1,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0
5,27,32,23,17,16,8,12,9,9,7,4,7,4,4,4,3,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0
6,32,34,25,21,12,11,11,10,8,8,2,3,5,3,4,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
7,36,36,30,20,18,14,9,9,6,6,2,4,5,3,4,1,2,1,0,2,1,2,0,1,0,0,0,0,0,0,1,0,0
8,42,34,30,23,20,9,9,8,10,4,5,5,3,8,2,1,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
9,39,32,34,24,15,15,4,8,6,3,3,5,6,6,2,1,2,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
10,33,29,27,19,19,12,9,8,7,6,5,7,5,6,5,1,1,1,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0
11,42,36,27,19,20,8,10,9,5,6,8,4,2,4,3,1,1,1,0,0,3,3,0,2,1,0,0,0,0,0,0,0,0
12,39,32,30,24,14,13,9,5,9,6,5,4,1,2,2,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0
13,29,42,33,25,18,9,11,8,6,8,4,4,4,2,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,40,32,28,28,12,9,11,7,7,6,7,7,2,5,6,0,1,1,2,2,1,1,1,1,0,1,0,0,0,1,0,0,0
15,39,30,36,18,21,11,7,8,8,2,7,2,6,7,3,1,0,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0
16,37,42,36,24,18,11,10,11,9,3,2,4,2,5,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
17,44,31,30,31,18,13,6,7,8,3,4,5,7,2,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,39,36,29,21,21,10,11,7,7,5,7,2,4,4,4,3,3,4,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0
19,35,38,22,15,21,9,8,8,8,5,5,5,6,3,1,3,4,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0
20,39,29,25,14,21,7,8,9,11,2,7,4,2,6,1,2,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
21,34,27,22,12,22,14,11,12,6,7,6,7,2,3,4,3,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
22,33,32,27,19,23,9,10,9,7,4,4,5,5,2,5,1,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
23,39,30,24,21,15,8,7,11,9,4,4,9,5,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,34,26,27,17,19,7,9,6,6,4,5,3,5,4,3,1,3,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0
25,34,37,29,21,23,10,10,9,6,7,3,5,2,4,3,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,38,29,32,16,14,8,6,10,4,4,2,2,4,5,3,2,1,0,1,1,0,1,1,0,2,1,0,0,0,0,0,0,0
27,31,35,21,27,25,7,10,8,7,4,7,5,4,2,3,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,27,34,18,10,20,10,10,9,5,3,6,2,6,0,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,25,30,20,12,22,10,7,5,5,5,4,3,3,7,2,3,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0
30,42,25,16,17,21,7,9,8,5,3,4,6,1,0,0,0,1,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
31,42,30,27,16,19,6,11,5,2,6,5,0,3,0,2,1,1,2,1,0,0,0,3,1,4,0,1,1,0,0,0,0,0
32,31,32,23,23,21,5,7,8,6,4,3,3,5,2,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,31,32,21,16,19,10,8,7,6,3,4,5,2,2,5,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
34,37,30,21,20,21,11,6,7,8,3,4,4,5,1,2,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,29,30,24,18,19,5,9,5,6,3,4,4,4,2,2,2,3,1,1,0,1,0,0,2,1,0,1,1,0,0,0,0,0
36,34,25,9,23,20,13,5,6,9,3,2,4,3,1,2,2,1,3,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
37,31,27,21,15,16,9,12,7,7,6,4,5,2,3,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,25,25,17,17,9,8,10,3,5,4,3,3,3,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
39,40,29,23,21,15,8,5,10,6,3,3,4,3,1,2,1,0,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0
40,30,32,21,13,14,5,7,7,6,3,4,6,4,3,3,2,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
41,36,27,15,18,19,8,9,6,5,4,3,5,1,0,3,1,0,2,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0
42,44,29,26,22,17,4,8,6,7,3,4,2,1,0,3,1,0,2,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
43,34,27,22,17,16,7,8,9,7,4,5,3,5,1,3,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
44,19,27,24,11,13,8,11,7,4,7,5,5,4,0,1,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
45,29,30,20,22,21,9,9,9,7,4,5,4,4,1,2,1,1,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0
46,31,30,18,13,24,9,11,11,6,4,5,2,2,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,33,28,25,20,22,7,7,8,7,2,4,7,5,5,3,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
48,30,29,16,18,19,6,10,7,3,3,5,4,3,2,6,1,1,1,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0
49,35,26,16,18,17,9,7,8,4,3,4,3,3,0,5,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50,33,31,18,15,17,8,6,8,4,4,4,3,3,1,4,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
