sentence_index,NN,NNS,JJ,IN,NNP,VB,VBG,DT,CC,MD,RB,TO,VBP,VBZ,VBN,PRP,WRB,PRP$,WDT,WP,JJR,VBD,POS,RBR,EX,NNPS,RP,(,),JJS,RBS,CD,UH,PDT,FW
1,14.0,8.0,9.0,10.5,0.5,4.0,2.0,9.0,4.0,2.0,5.5,1.5,4.5,4.5,1.0,4.5,2.0,0.5,1.5,0.5,0,1.0,0,0.5,1.5,0,0,0,0,0.5,0,0,0,0,0
2,24.0,15.0,20.5,12.0,7.0,6.5,5.0,7.5,4.5,2.5,5.0,3.0,4.5,5.5,0,3.0,3.0,1.0,1.5,0.5,0,0,0,0,0,0.5,1.0,0,0,0,0,0.5,0,0,0
3,28.0,22.0,23.0,15.5,8.0,10.0,5.5,7.5,6.0,5.5,5.5,3.0,4.5,4.0,1.5,2.0,2.0,1.0,1.0,0,0.5,0.5,0.5,1.0,0.5,0.5,0,0.5,0.5,0.5,0,1.0,0,0,0
4,28.5,18.0,21.0,14.0,8.5,10.0,4.5,10.5,9.5,3.5,5.5,4.0,4.0,3.5,1.5,2.0,1.5,1.0,1.5,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0
5,20.0,19.5,19.0,15.0,7.5,10.0,5.5,9.5,6.5,4.0,3.5,4.0,7.0,2.0,2.5,5.5,1.0,0.5,2.0,0.5,0,1.0,0,0.5,1.0,0,0,0,0,0,0,0,0,0,0
6,29.5,25.5,25.0,18.0,11.0,4.5,7.0,8.0,8.0,2.5,5.0,2.5,6.5,3.5,2.5,2.5,2.5,1.0,0.5,0.5,1.0,0,0,0.5,1.0,0,0,0.5,0.5,0,0,0,0.5,0,0
7,10.0,8.5,9.0,10.5,3.0,4.5,1.5,4.0,3.5,1.0,2.5,1.0,5.0,0.5,0.5,2.5,0.5,0,1.5,1.0,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0
8,32.5,25.5,23.5,19.0,10.5,8.0,8.5,8.5,6.5,3.5,2.5,1.5,2.0,5.0,0.5,1.0,0,1.0,1.5,1.0,0.5,1.0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0
9,26.5,26.5,20.5,21.0,9.5,7.0,9.5,6.0,7.0,2.5,7.0,3.5,5.5,4.0,1.5,1.5,1.0,1.5,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
10,27.5,25.5,23.5,19.0,8.5,10.0,7.0,9.5,6.5,5.0,3.5,3.0,3.0,2.5,2.0,1.5,0.5,1.5,2.0,1.0,1.0,0,0,0.5,0,0,0,0,0,1.0,0,0,0,0,0
11,28.5,33.5,20.0,18.0,7.0,12.0,9.0,6.0,8.0,5.5,2.5,5.0,3.0,1.5,2.5,1.0,1.0,0,1.0,1.0,1.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,30.0,29.0,22.0,18.5,7.0,8.0,10.5,4.5,8.0,5.5,3.0,2.5,5.5,3.5,2.5,1.0,1.0,0,2.5,1.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
13,30.5,29.0,23.5,15.0,9.5,10.0,7.5,7.5,6.0,4.5,5.0,4.5,4.5,3.0,1.0,2.0,2.0,0,0.5,0,0.5,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
14,30.0,28.5,19.0,15.5,10.0,9.5,5.0,7.5,9.5,4.0,3.0,5.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0
15,22.5,23.5,28.0,12.5,7.5,8.0,8.0,6.5,6.0,6.5,5.0,3.5,3.5,2.0,2.5,1.5,0.5,0,3.0,0.5,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
16,28.5,25.5,22.0,20.5,6.5,4.5,9.5,9.0,9.0,2.0,4.5,2.0,6.5,2.5,2.0,2.0,2.0,1.5,1.0,0.5,1.0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0
17,32.0,28.5,24.5,19.0,10.0,12.5,9.0,7.5,6.5,6.5,4.0,5.0,4.5,1.5,1.5,2.0,1.5,1.5,1.5,2.0,1.0,0.5,2.0,0.5,0,0,0,0,0,0,0,0,0,0.5,0
18,27.0,27.5,21.5,17.5,8.0,7.5,10.0,6.5,9.0,4.0,5.0,3.5,3.5,3.0,3.5,1.5,2.0,1.5,1.0,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0
19,25.0,21.5,19.5,16.5,9.5,10.5,6.5,7.0,8.0,5.0,9.0,3.5,5.5,1.0,3.0,2.0,1.0,1.5,0,0.5,1.5,2.0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0
20,28.5,30.0,16.5,17.0,8.5,8.0,6.0,5.5,6.5,3.0,4.5,5.5,3.0,2.0,3.5,1.0,1.5,1.0,0.5,0.5,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
21,29.0,29.5,20.5,15.0,8.5,10.0,9.0,7.0,6.0,5.5,4.5,4.0,5.0,2.0,1.5,1.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
22,25.5,30.0,17.5,15.0,7.5,12.5,9.5,2.5,6.5,6.0,3.5,5.0,4.0,1.5,2.5,2.5,0.5,2.0,0.5,1.0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
23,33.0,29.5,22.5,17.0,8.0,6.5,6.5,7.5,9.0,2.0,2.0,4.5,5.5,1.0,3.5,1.5,1.5,1.0,0.5,1.0,0.5,1.5,1.0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
24,28.0,25.0,19.0,15.5,9.0,7.5,5.5,6.0,6.5,3.0,4.0,2.5,4.5,3.0,2.0,1.5,3.0,1.0,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
25,28.5,22.0,17.5,14.5,8.0,11.0,7.0,5.0,6.5,4.5,2.5,5.0,1.5,3.5,2.5,1.5,0.5,0.5,2.0,1.0,1.0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
26,25.5,24.5,24.5,15.5,9.5,8.0,8.0,7.5,7.0,4.0,2.5,2.0,4.5,2.5,2.5,1.5,1.5,0.5,0,1.5,1.5,0,0.5,0.5,0,0.5,1.0,0,0,0,0,0,0,0,0
27,26.5,22.5,20.5,13.0,8.5,7.0,4.0,7.5,9.0,4.0,1.5,3.0,4.0,4.0,1.5,1.5,1.0,1.5,1.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
28,30.5,20.0,16.5,14.0,9.0,7.0,8.0,7.0,6.0,4.0,3.5,3.0,2.0,3.5,3.0,1.0,1.0,0.5,1.0,0.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0
29,28.0,23.0,20.0,13.5,9.0,8.5,3.0,7.0,7.0,4.0,3.5,3.5,2.0,3.5,3.0,1.0,1.0,1.5,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0
30,23.5,26.5,17.0,13.5,11.0,7.0,10.5,5.5,7.5,2.5,4.0,3.0,3.5,2.5,1.0,1.5,1.0,0,0.5,0.5,1.0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0
31,23.0,22.0,23.0,14.5,7.5,9.0,7.5,8.0,5.5,5.0,4.5,4.5,5.0,3.0,3.5,1.5,2.0,1.0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,25.0,23.5,17.5,13.5,11.0,9.5,9.0,6.0,5.0,5.5,4.5,5.0,2.0,3.5,1.0,1.0,3.0,1.0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,21.5,23.0,18.5,12.0,10.0,13.0,5.5,6.0,5.5,5.0,2.5,6.5,2.0,0.5,2.5,1.0,1.0,0.5,0.5,0.5,0,0.5,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0
34,24.5,22.5,21.0,15.0,11.0,7.0,13.0,6.5,5.5,4.0,5.5,3.5,4.0,3.5,3.0,2.0,2.0,1.5,0.5,1.0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
35,29.5,25.0,16.0,19.0,9.5,10.5,5.0,7.0,6.0,3.0,4.0,3.5,3.0,1.0,3.0,1.5,2.0,1.5,1.0,0.5,0.5,0,0.5,0.5,0,1.0,0,0,0,0,0,0,0,0,0
36,26.5,23.5,18.0,14.0,10.0,9.5,6.0,5.5,5.0,4.5,6.5,4.5,3.5,1.0,0.5,1.5,2.5,2.5,1.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
37,27.5,29.0,23.5,17.5,11.5,8.0,4.0,6.0,6.0,3.0,1.0,5.0,3.0,0.5,3.0,0.5,1.0,2.5,1.0,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0
38,25.5,26.5,25.0,12.0,10.0,9.0,11.5,6.0,7.5,6.5,4.0,2.5,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0,0.5,0.5,0,1.0,0,0,0,0,0,0,0,0,0,0,0
39,26.0,22.5,18.0,14.5,11.0,7.5,8.5,8.5,5.5,2.5,1.5,4.5,5.0,2.0,3.5,1.0,2.0,1.5,1.0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0
40,28.5,23.5,13.0,14.5,12.5,7.0,7.0,4.5,7.0,3.0,3.0,3.5,3.5,1.5,2.5,0.5,1.0,2.0,0.5,0.5,0,1.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0
41,26.0,22.0,20.0,13.0,10.0,10.5,7.0,5.5,6.5,6.0,3.5,4.5,2.0,1.0,2.0,1.5,1.5,1.0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,23.5,25.0,20.0,13.0,8.5,9.0,7.0,4.5,4.5,5.0,1.0,3.0,3.0,1.5,2.0,1.0,1.5,0.5,1.0,1.0,0.5,0,0.5,0.5,0,1.0,0,0,0,0,0,0,0,0,0
43,24.0,26.0,14.0,12.5,12.0,8.5,5.5,6.0,4.5,3.0,2.5,5.0,3.5,1.0,2.0,0.5,1.5,1.5,0.5,1.5,0.5,1.0,0.5,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0
44,29.5,28.0,17.0,11.5,12.5,9.0,4.5,5.5,8.0,3.5,2.5,3.5,1.5,0.5,0.5,0.5,1.5,0.5,1.5,0.5,0.5,0,1.0,1.0,0,0,0,0.5,0.5,0,0,0,0,0,0
45,24.0,23.0,19.5,12.0,12.0,12.0,4.5,6.5,7.5,6.0,2.5,5.5,0.5,1.0,1.5,1.5,2.0,1.0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
46,23.5,18.5,21.0,13.5,10.5,10.0,9.0,6.5,4.0,7.0,5.5,3.0,1.5,2.0,2.0,1.5,2.0,0.5,1.0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0
47,24.5,21.5,15.5,11.0,10.0,8.0,4.5,6.0,4.5,3.5,4.5,3.5,2.0,4.0,1.0,1.0,0.5,1.0,0.5,0.5,0,1.0,0.5,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0
48,25.0,21.0,15.5,18.5,10.5,8.0,7.5,5.5,5.5,5.5,4.0,3.0,1.0,2.5,2.5,1.0,2.0,0.5,0.5,0,1.0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0
49,32.0,19.0,15.0,15.5,10.0,7.0,8.5,9.0,7.0,3.5,5.5,3.0,1.5,1.5,2.0,0.5,1.5,0,0.5,0,0,0,0.5,0,0,1.0,0,0,0,0,0,0,0,0,0
50,27.0,23.0,15.5,12.0,9.0,9.5,6.5,3.5,6.5,4.5,3.5,5.5,3.0,2.0,2.0,1.5,1.0,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
