sentence_index,NNS,NN,JJ,IN,VB,DT,VBG,CC,MD,RB,VBP,TO,PRP,VBZ,NNP,VBN,WRB,WDT,PRP$,WP,VBD,JJR,RBR,EX,RP,POS,NNPS,(,),JJS,CD,RBS,UH
1,6,9,7,9,2,8,0,3,0,2,4,1,5,4,1,0,1,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0
2,7,9,14,5,3,4,1,5,0,3,5,2,4,4,2,0,3,1,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0
3,14,21,21,14,9,8,2,5,4,8,5,3,2,3,1,1,2,1,1,0,1,0,1,1,0,0,1,1,1,0,2,0,0
4,13,18,15,7,7,8,2,9,1,6,6,4,3,2,5,1,2,3,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
5,15,10,13,13,4,9,5,4,0,3,8,2,7,2,0,2,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
6,15,20,21,15,4,10,7,6,2,4,8,3,4,2,0,3,2,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1
7,15,17,15,17,8,7,2,7,2,5,8,2,4,1,6,1,1,3,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0
8,19,21,16,15,8,10,7,6,4,1,1,1,1,4,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
9,20,15,19,14,6,6,7,4,2,7,4,3,1,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16,23,19,15,6,5,7,5,4,3,4,2,1,1,0,1,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
11,28,16,13,13,10,8,6,9,4,2,3,5,1,1,0,2,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
12,18,23,9,14,8,2,7,7,6,3,5,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
13,17,22,16,12,9,7,6,3,4,6,4,4,3,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,20,19,9,10,9,7,4,9,4,0,4,3,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
15,18,17,15,8,7,6,3,4,6,3,2,2,1,1,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16,12,17,10,13,4,8,7,7,2,4,6,3,3,1,0,3,2,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0
17,20,13,16,12,7,5,9,5,3,3,3,3,1,1,1,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
18,20,15,13,8,7,4,7,7,4,5,2,3,3,0,0,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,14,19,14,12,8,6,6,5,6,5,3,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,18,17,7,12,8,5,2,4,3,4,3,4,1,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,20,19,17,10,8,6,7,5,4,4,4,4,2,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
22,30,18,14,11,11,1,6,6,5,2,3,4,1,1,1,3,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
23,27,22,17,11,8,5,6,7,2,2,4,5,1,0,1,3,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
24,20,18,10,9,9,4,4,6,3,5,4,4,2,2,0,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,12,23,14,8,12,4,3,5,6,1,1,4,2,7,0,5,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
26,18,21,20,8,9,2,10,5,5,2,3,3,2,1,0,0,1,0,0,2,0,3,1,0,2,1,0,0,0,0,0,0,0
27,14,23,13,8,9,7,2,5,5,1,3,3,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,15,20,13,7,6,6,5,5,4,4,3,2,1,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,15,24,20,11,3,9,1,4,2,3,3,0,1,0,2,2,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
30,17,18,11,11,5,7,12,5,1,2,1,3,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,19,16,19,14,7,5,5,2,3,3,6,4,2,2,4,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,13,18,13,9,6,6,8,4,3,2,1,4,1,5,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,17,14,15,6,13,4,3,4,6,1,1,6,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
34,17,14,15,9,6,6,11,4,3,1,4,3,1,3,4,2,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
35,24,17,12,14,12,7,3,5,2,4,2,5,2,2,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,16,14,13,10,10,3,6,3,5,10,3,4,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,25,21,21,14,6,3,1,5,3,1,2,4,0,0,4,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
38,20,15,19,10,7,3,7,6,5,4,3,1,1,0,1,1,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
39,17,21,13,11,3,11,8,5,2,2,5,4,0,4,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,24,16,15,8,8,0,8,6,3,3,3,5,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,19,26,13,10,9,3,4,6,4,4,2,5,2,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,21,15,8,7,10,4,8,5,6,2,1,3,1,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
43,22,18,9,11,8,8,3,4,3,3,4,3,1,1,5,3,1,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0
44,23,23,14,8,9,5,3,9,4,2,2,2,1,0,6,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,25,14,18,10,11,7,2,8,4,1,0,4,1,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,15,16,11,11,11,6,9,3,7,5,1,3,2,1,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,20,14,11,8,11,4,4,4,2,4,1,7,2,4,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48,16,14,12,14,9,4,12,5,7,4,0,3,1,3,1,2,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
49,18,21,11,11,8,6,6,6,3,3,3,3,1,0,5,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
50,21,20,7,11,8,3,5,6,3,4,3,3,0,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
