sentence_index,NN,IN,JJ,NNS,DT,VB,RB,PRP,VBP,VBG,CC,MD,VBZ,TO,VBN,WRB,PRP$,WP,VBD,RBR,JJR,NNP,WDT,EX,RP,JJS,CD,POS,PDT,NNPS
1,13,8,7,3,4,9,4,9,4,4,4,6,3,2,2,1,3,0,1,1,1,1,1,2,0,1,0,0,0,0
2,16,10,7,4,4,9,7,10,6,9,5,4,3,4,1,4,2,1,0,1,0,1,0,0,0,0,0,0,0,0
3,19,10,8,5,10,7,8,6,4,3,4,4,1,3,2,3,2,1,3,0,1,0,0,1,0,0,0,0,0,0
4,12,11,8,13,4,6,12,7,3,5,4,4,2,0,4,2,2,1,1,1,0,2,0,1,1,0,0,0,0,0
5,15,11,8,7,8,6,12,7,4,4,7,4,5,1,2,3,1,1,1,1,0,0,0,1,0,1,1,0,0,0
6,16,13,11,10,8,9,10,7,4,5,5,5,4,4,3,3,2,1,3,1,1,1,1,0,1,1,0,0,0,0
7,18,19,7,12,8,7,6,7,5,4,6,3,2,2,2,1,4,2,1,2,1,0,0,0,0,1,0,0,0,0
8,13,14,10,8,5,6,8,10,6,6,5,3,8,2,2,3,2,2,0,0,1,1,1,0,0,0,0,0,0,0
9,21,13,12,14,8,8,12,5,6,4,4,4,3,5,0,3,3,1,1,0,0,1,1,1,0,0,1,1,1,0
10,17,9,15,5,5,10,11,6,3,5,4,5,3,3,0,2,1,0,0,2,1,0,1,2,0,0,0,0,0,0
11,10,14,10,12,6,6,13,5,5,4,6,4,3,2,3,1,2,1,0,2,2,1,1,1,0,0,0,0,0,0
12,17,14,13,9,5,2,7,7,6,3,3,0,4,2,4,2,2,0,1,1,1,0,1,1,1,0,0,0,0,0
13,13,8,11,7,4,8,7,11,9,3,5,5,1,2,4,4,1,1,1,0,1,1,1,1,1,0,0,0,0,0
14,16,18,10,15,7,8,6,7,8,1,4,4,3,2,2,1,2,1,1,1,3,1,0,1,0,0,0,0,0,0
15,13,14,14,16,3,7,9,5,5,5,3,4,2,3,1,2,2,0,1,1,3,1,0,1,0,0,1,1,0,0
16,14,11,14,8,6,9,11,8,7,2,4,4,2,4,2,1,2,2,0,1,2,3,0,0,0,0,1,0,0,0
17,10,12,10,12,8,10,11,9,4,1,4,2,2,4,1,3,1,0,2,1,0,0,0,1,1,0,0,0,0,0
18,12,13,13,9,11,10,10,6,3,3,5,6,2,3,1,3,2,0,0,1,0,0,0,0,1,1,0,0,0,0
19,20,12,13,9,8,7,10,9,6,3,7,3,4,4,0,2,1,1,5,0,1,0,1,0,0,0,2,2,0,0
20,12,15,8,10,11,9,9,11,6,2,7,6,3,2,1,2,2,2,0,1,1,0,0,0,0,0,1,1,0,0
21,15,11,9,2,10,11,9,9,2,6,5,5,4,3,2,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0
22,15,15,14,11,9,8,5,8,7,7,5,3,3,3,2,3,4,0,2,0,0,0,0,0,1,0,0,0,0,0
23,20,13,13,10,10,11,6,7,3,5,5,3,4,3,1,1,3,1,0,2,0,1,0,1,1,0,0,0,0,0
24,19,11,13,11,6,8,7,5,6,5,4,4,4,5,4,4,3,1,0,1,1,1,0,1,0,1,0,0,0,0
25,12,8,13,8,7,5,10,5,7,6,4,3,3,2,5,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0
26,20,14,11,10,9,11,9,10,8,7,5,6,5,2,4,5,1,1,1,1,1,0,1,0,0,0,0,0,0,0
27,19,11,9,9,5,11,7,5,4,7,5,5,2,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
28,14,16,12,13,5,8,7,7,6,6,1,4,4,3,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0
29,15,18,10,18,9,5,5,8,9,13,7,2,6,3,5,4,1,1,1,2,1,0,1,0,1,0,0,0,0,0
30,12,15,7,15,7,9,7,10,11,10,3,2,3,4,1,2,3,1,0,0,0,0,1,1,0,0,0,0,0,0
31,14,12,7,12,8,9,5,8,9,7,5,4,3,5,1,3,2,1,0,1,0,1,0,0,1,0,0,0,0,0
32,22,14,9,7,9,9,7,8,6,3,5,2,6,4,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0
33,18,11,9,5,10,5,8,4,4,5,5,4,4,2,3,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0
34,25,12,9,7,9,6,9,8,6,4,5,2,6,4,6,4,2,2,3,0,0,0,0,0,1,0,0,1,0,0
35,18,14,11,15,12,7,1,4,4,6,5,3,2,3,5,2,1,1,0,0,0,2,0,0,0,1,0,0,0,1
36,20,10,12,7,10,7,5,4,5,4,6,4,4,2,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0
37,17,12,14,13,7,9,8,6,6,10,6,4,5,4,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
38,16,13,19,13,12,11,5,5,6,4,5,3,6,4,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0
39,25,15,21,15,10,6,6,5,4,8,5,3,5,3,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
40,19,16,17,11,8,5,3,6,4,10,6,3,4,2,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0
41,19,12,12,11,11,12,7,3,2,2,4,5,3,4,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
42,21,12,13,9,8,5,4,3,3,6,5,3,5,2,2,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0
43,16,9,14,14,8,3,4,5,6,6,4,2,2,3,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0
44,13,14,15,16,7,5,3,2,3,4,5,3,3,2,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
45,23,11,8,15,9,5,6,2,4,5,7,3,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
46,19,16,12,11,12,7,7,6,4,8,5,3,2,6,3,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0
47,24,14,14,12,11,7,10,3,7,4,5,5,3,3,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0
48,24,14,15,15,10,5,8,1,4,5,4,5,2,4,2,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0
49,20,12,17,16,13,10,4,1,4,9,5,5,1,4,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
50,17,8,18,16,7,11,3,1,4,4,6,4,1,5,0,2,1,1,2,0,0,1,1,0,0,0,0,0,0,0
